Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team
1.0,Jayson Tatum,26.0,PF,72,72,36.4,9.2,20.3,0.452,3.5,10.1,0.343,5.7,10.2,0.559,0.537,5.0,6.1,0.814,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8,,BOS
2.0,Jaylen Brown,28.0,SF,63,63,34.3,8.2,17.7,0.463,1.8,5.7,0.324,6.4,12.1,0.529,0.515,3.9,5.1,0.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,,BOS
3.0,Derrick White,30.0,SG,76,76,33.9,5.6,12.6,0.442,3.5,9.1,0.384,2.1,3.5,0.593,0.58,1.8,2.1,0.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,,BOS
4.0,Jrue Holiday,34.0,PG,62,62,30.6,4.1,9.2,0.443,1.7,4.9,0.353,2.4,4.3,0.547,0.538,1.1,1.2,0.909,1.2,3.0,4.3,3.9,1.1,0.4,1.2,1.6,11.1,,BOS
5.0,Kristaps Porziņģis,29.0,C,42,42,28.8,6.6,13.7,0.483,2.5,6.0,0.412,4.1,7.7,0.537,0.572,3.8,4.7,0.809,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,19.5,,BOS
6.0,Payton Pritchard,27.0,PG,80,3,28.4,5.1,10.8,0.472,3.2,7.8,0.407,1.9,3.0,0.642,0.62,0.9,1.1,0.845,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,14.3,,BOS
7.0,Al Horford,38.0,C,60,42,27.7,3.3,7.7,0.423,1.9,5.2,0.363,1.4,2.5,0.551,0.547,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9.0,,BOS
8.0,Sam Hauser,27.0,PF,71,19,21.7,3.0,6.7,0.451,2.3,5.6,0.416,0.7,1.1,0.64,0.627,0.2,0.2,1.0,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,8.5,,BOS
9.0,Luke Kornet,29.0,C,73,16,18.6,2.6,3.8,0.668,0.0,0.0,0.0,2.6,3.8,0.675,0.668,0.9,1.3,0.691,2.6,2.7,5.3,1.6,0.5,1.0,0.4,1.6,6.0,,BOS
10.0,Neemias Queta,25.0,C,62,6,13.9,2.1,3.3,0.65,0.0,0.0,0.0,2.1,3.2,0.66,0.65,0.7,1.0,0.754,1.4,2.4,3.8,0.7,0.3,0.7,0.6,1.7,5.0,,BOS
11.0,Baylor Scheierman,24.0,SG,31,2,12.4,1.3,3.5,0.355,0.8,2.6,0.317,0.4,0.9,0.464,0.473,0.3,0.4,0.75,0.6,1.5,2.1,1.1,0.5,0.1,0.4,0.7,3.6,,BOS
12.0,Torrey Craig,34.0,SF,17,3,11.8,0.9,2.6,0.356,0.5,1.8,0.29,0.4,0.8,0.5,0.456,0.3,0.5,0.625,1.1,1.7,2.8,0.7,0.4,0.6,0.5,1.1,2.7,,BOS
13.0,Miles Norris,24.0,PF,3,0,11.7,0.7,3.0,0.222,0.7,2.3,0.286,0.0,0.7,0.0,0.333,0.3,0.7,0.5,0.7,2.3,3.0,0.0,0.7,0.3,0.0,0.0,2.3,,BOS
14.0,Jordan Walsh,20.0,PF,52,1,7.8,0.6,1.6,0.361,0.3,1.1,0.273,0.3,0.5,0.536,0.452,0.1,0.2,0.583,0.4,0.9,1.3,0.4,0.2,0.2,0.3,0.6,1.6,,BOS
15.0,Drew Peterson,25.0,PF,25,1,7.4,0.7,1.6,0.415,0.5,1.3,0.394,0.2,0.3,0.5,0.573,0.3,0.4,0.778,0.4,1.2,1.6,0.5,0.2,0.1,0.3,0.7,2.2,,BOS
16.0,Xavier Tillman Sr.,26.0,C,33,2,7.0,0.4,1.6,0.245,0.2,1.0,0.156,0.2,0.6,0.381,0.292,0.1,0.1,0.75,0.3,1.0,1.3,0.2,0.3,0.2,0.4,0.5,1.0,,BOS
17.0,JD Davison,22.0,PG,16,0,5.8,0.8,2.1,0.353,0.3,1.1,0.222,0.5,1.0,0.5,0.412,0.3,0.4,0.714,0.1,0.7,0.8,0.8,0.3,0.1,0.8,0.1,2.1,,BOS
