[2025-06-21T23:05:46.014+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-17 between CHI and HOU.
[2025-06-21T23:05:52.592+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-17 between OKC and DAL.
[2025-06-21T23:05:59.360+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-17 between LAC and UTA.
[2025-06-21T23:06:06.168+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-18 between DET and CHI.
[2025-06-21T23:06:14.205+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-18 between MIA and PHI.
[2025-06-21T23:06:20.816+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-18 between NYK and WAS.
[2025-06-21T23:06:27.656+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-18 between TOR and IND.
[2025-06-21T23:06:34.339+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-18 between MIL and HOU.
[2025-06-21T23:06:40.891+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-18 between PHO and ORL.
[2025-06-21T23:06:48.847+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-18 between SAC and ATL.
[2025-06-21T23:06:55.676+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-18 between LAC and GSW.
[2025-06-21T23:07:02.461+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-19 between BOS and CLE.
[2025-06-21T23:07:09.085+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-19 between BRK and CHO.
[2025-06-21T23:07:17.043+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-19 between MEM and DEN.
[2025-06-21T23:07:23.697+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-19 between DAL and NOP.
[2025-06-21T23:07:30.575+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-19 between SAS and OKC.
